date;campaign_id;campaign_name;channel_name;impressions;clicks;spend;conversions;revenue
1.07.2026;1;campaign_1;Google Ads;22030;7600;785588;291;9090966
2.07.2026;1;campaign_1;Google Ads;75169;9467;887257;721;4168261
3.07.2026;1;campaign_1;Google Ads;12279;4583;423040;797;1736593
4.07.2026;1;campaign_1;Google Ads;53447;2540;404978;971;3881464
5.07.2026;1;campaign_1;Google Ads;90407;1686;121878;654;4536258
6.07.2026;1;campaign_1;Google Ads;29479;7620;402123;559;8015287
7.07.2026;1;campaign_1;Google Ads;62738;1884;281189;394;5761305
8.07.2026;1;campaign_1;Google Ads;46317;9096;870106;621;888047
9.07.2026;1;campaign_1;Google Ads;55551;6895;144822;370;9446313
10.07.2026;1;campaign_1;Google Ads;28697;4078;907518;444;2166510
11.07.2026;1;campaign_1;Google Ads;34888;3732;394608;442;2551233
12.07.2026;1;campaign_1;Google Ads;59597;3095;154672;894;4921584
13.07.2026;1;campaign_1;Google Ads;56453;4363;438322;132;9645559
14.07.2026;1;campaign_1;Google Ads;27369;8600;891003;460;1098140
15.07.2026;1;campaign_1;Google Ads;64647;1468;479960;148;9753890
16.07.2026;1;campaign_1;Google Ads;91166;4600;549066;709;8921855
17.07.2026;1;campaign_1;Google Ads;53327;9917;692512;602;8519616
18.07.2026;1;campaign_1;Google Ads;92604;5833;303725;761;7278650
19.07.2026;1;campaign_1;Google Ads;32855;4139;552446;241;8169338
20.07.2026;1;campaign_1;Google Ads;57907;2911;745561;447;1636273
21.07.2026;1;campaign_1;Google Ads;73073;6083;547295;362;8562182
22.07.2026;1;campaign_1;Google Ads;95730;5845;360675;361;8987744
23.07.2026;1;campaign_1;Google Ads;61254;1937;749236;498;3700891
24.07.2026;1;campaign_1;Google Ads;56042;1140;119450;380;440678
25.07.2026;1;campaign_1;Google Ads;46304;1464;202540;789;9145980
26.07.2026;1;campaign_1;Google Ads;90185;8549;743684;367;5857328
27.07.2026;1;campaign_1;Google Ads;25498;6133;183364;577;8418128
28.07.2026;1;campaign_1;Google Ads;86458;7693;316204;585;9348750
29.07.2026;1;campaign_1;Google Ads;71680;7270;246536;504;8506158
30.07.2026;1;campaign_1;Google Ads;59377;3678;112284;692;350185
31.07.2026;1;campaign_1;Google Ads;23832;1940;440088;473;7751743
1.07.2026;2;campaign_2;Google Ads;35755;3685;256641;923;6026386
2.07.2026;2;campaign_2;Google Ads;38369;9113;602220;648;753010
3.07.2026;2;campaign_2;Google Ads;13323;3592;706574;172;6244282
4.07.2026;2;campaign_2;Google Ads;73366;3232;123091;406;8096727
5.07.2026;2;campaign_2;Google Ads;51296;4841;220561;274;6228758
6.07.2026;2;campaign_2;Google Ads;45397;1416;264680;365;214511
7.07.2026;2;campaign_2;Google Ads;30555;5277;616806;843;3646567
8.07.2026;2;campaign_2;Google Ads;99559;2939;500324;951;4722079
9.07.2026;2;campaign_2;Google Ads;82698;2130;764526;946;707371
10.07.2026;2;campaign_2;Google Ads;84372;8883;805429;104;1963980
11.07.2026;2;campaign_2;Google Ads;17993;4591;709990;239;8352930
12.07.2026;2;campaign_2;Google Ads;49679;4894;764038;631;1166747
13.07.2026;2;campaign_2;Google Ads;15864;2483;110769;559;3523634
14.07.2026;2;campaign_2;Google Ads;50393;9518;449284;172;3416724
15.07.2026;2;campaign_2;Google Ads;92110;9474;940461;662;672175
16.07.2026;2;campaign_2;Google Ads;14315;7171;170512;465;7195496
17.07.2026;2;campaign_2;Google Ads;19507;1180;583495;648;7322117
18.07.2026;2;campaign_2;Google Ads;23348;9658;976291;655;1681010
19.07.2026;2;campaign_2;Google Ads;59926;5310;251740;781;4876531
20.07.2026;2;campaign_2;Google Ads;79586;2386;587547;208;5335930
21.07.2026;2;campaign_2;Google Ads;24487;5511;592270;382;7152615
22.07.2026;2;campaign_2;Google Ads;97413;8786;630228;405;2130344
23.07.2026;2;campaign_2;Google Ads;98736;6860;357999;781;9924675
24.07.2026;2;campaign_2;Google Ads;49491;5056;489673;158;3347226
25.07.2026;2;campaign_2;Google Ads;25592;8917;721048;329;2179558
26.07.2026;2;campaign_2;Google Ads;16699;3362;478290;435;6683190
27.07.2026;2;campaign_2;Google Ads;93116;7151;767087;796;5674125
28.07.2026;2;campaign_2;Google Ads;24204;7584;473254;627;6137186
29.07.2026;2;campaign_2;Google Ads;82350;6357;442650;344;7872442
30.07.2026;2;campaign_2;Google Ads;50446;5135;702594;452;5707494
31.07.2026;2;campaign_2;Google Ads;66302;2749;522965;507;487567
1.07.2026;3;campaign_3;Google Ads;64451;2435;752678;788;4871616
2.07.2026;3;campaign_3;Google Ads;20953;4231;732029;384;6141674
3.07.2026;3;campaign_3;Google Ads;70776;5946;271761;365;844514
4.07.2026;3;campaign_3;Google Ads;26509;8780;920567;105;7992921
5.07.2026;3;campaign_3;Google Ads;70915;9277;896978;136;5929246
6.07.2026;3;campaign_3;Google Ads;18656;3575;697100;494;7312598
7.07.2026;3;campaign_3;Google Ads;32547;4705;100222;749;7646135
8.07.2026;3;campaign_3;Google Ads;55914;7194;158823;731;8258660
9.07.2026;3;campaign_3;Google Ads;82856;3435;902762;889;4497017
10.07.2026;3;campaign_3;Google Ads;51522;5704;327848;848;8334834
11.07.2026;3;campaign_3;Google Ads;88326;4904;895223;928;2823817
12.07.2026;3;campaign_3;Google Ads;79113;9846;887697;126;8874960
13.07.2026;3;campaign_3;Google Ads;50331;5198;895285;283;1914194
14.07.2026;3;campaign_3;Google Ads;79200;3787;691158;694;3360821
15.07.2026;3;campaign_3;Google Ads;10225;6235;394275;197;1270695
16.07.2026;3;campaign_3;Google Ads;25688;9421;600685;701;2818980
17.07.2026;3;campaign_3;Google Ads;65516;3844;542978;849;2463816
18.07.2026;3;campaign_3;Google Ads;65627;7543;352185;601;7747971
19.07.2026;3;campaign_3;Google Ads;60230;9759;845430;867;7515375
20.07.2026;3;campaign_3;Google Ads;38722;4776;112238;458;2226020
21.07.2026;3;campaign_3;Google Ads;40034;1585;840170;205;3608015
22.07.2026;3;campaign_3;Google Ads;64105;7552;333154;549;3743462
23.07.2026;3;campaign_3;Google Ads;19306;4371;349851;239;6273836
24.07.2026;3;campaign_3;Google Ads;40329;5492;255165;562;2647455
25.07.2026;3;campaign_3;Google Ads;31784;2151;505118;434;8548053
26.07.2026;3;campaign_3;Google Ads;19253;6553;160892;584;209924
27.07.2026;3;campaign_3;Google Ads;55098;5412;449181;209;2249016
28.07.2026;3;campaign_3;Google Ads;56324;3802;862188;355;3681037
29.07.2026;3;campaign_3;Google Ads;31631;3023;642928;611;3374407
30.07.2026;3;campaign_3;Google Ads;99339;5155;854056;375;7701511
31.07.2026;3;campaign_3;Google Ads;83485;3671;524690;795;3898561
1.07.2026;1;campaign_1;Meta Ads;73205;5228;670991;874;3004132
2.07.2026;1;campaign_1;Meta Ads;43368;3080;368863;622;5636053
3.07.2026;1;campaign_1;Meta Ads;64772;9865;948615;434;4432385
4.07.2026;1;campaign_1;Meta Ads;58129;3786;114021;691;8325076
5.07.2026;1;campaign_1;Meta Ads;17870;4192;665651;716;8092099
6.07.2026;1;campaign_1;Meta Ads;44170;9120;900346;452;3871692
7.07.2026;1;campaign_1;Meta Ads;55446;8293;648258;536;2801964
8.07.2026;1;campaign_1;Meta Ads;44062;9527;806758;404;5759130
9.07.2026;1;campaign_1;Meta Ads;97439;5991;843478;351;7774102
10.07.2026;1;campaign_1;Meta Ads;53147;3198;853445;457;9148905
11.07.2026;1;campaign_1;Meta Ads;57568;9064;234461;659;1729388
12.07.2026;1;campaign_1;Meta Ads;70695;3361;786274;174;720793
13.07.2026;1;campaign_1;Meta Ads;62267;9568;249174;959;4004525
14.07.2026;1;campaign_1;Meta Ads;27184;1842;779449;443;4337687
15.07.2026;1;campaign_1;Meta Ads;35354;9668;261876;158;9065720
16.07.2026;1;campaign_1;Meta Ads;74894;7768;952837;560;4851799
17.07.2026;1;campaign_1;Meta Ads;53136;4511;338608;413;9093438
18.07.2026;1;campaign_1;Meta Ads;68727;7420;936336;495;8479631
19.07.2026;1;campaign_1;Meta Ads;16585;7337;488855;460;8544380
20.07.2026;1;campaign_1;Meta Ads;71573;5619;253645;871;3822284
21.07.2026;1;campaign_1;Meta Ads;88695;1210;882395;211;9925715
22.07.2026;1;campaign_1;Meta Ads;89202;1396;532779;407;8544228
23.07.2026;1;campaign_1;Meta Ads;47032;8808;762136;441;8531686
24.07.2026;1;campaign_1;Meta Ads;19950;3626;416469;698;4313916
